,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm),classification results
0,5.9,3.0,5.1,1.8,2.0
1,5.4,3.0,4.5,1.5,1.0
2,5.0,3.5,1.3,0.3,0.0
3,5.6,3.0,4.5,1.5,1.0
4,4.9,2.5,4.5,1.7,2.0
5,4.5,2.3,1.3,0.3,0.0
6,6.9,3.1,4.9,1.5,1.0
7,5.6,2.7,4.2,1.3,1.0
8,4.8,3.4,1.6,0.2,0.0
9,6.4,3.2,4.5,1.5,1.0
10,6.7,3.0,5.0,1.7,1.0
11,6.0,3.4,4.5,1.6,1.0
12,5.2,4.1,1.5,0.1,0.0
13,7.2,3.6,6.1,2.5,2.0
14,5.2,3.4,1.4,0.2,0.0
15,5.9,3.2,4.8,1.8,1.0
16,6.7,2.5,5.8,1.8,2.0
17,6.4,3.1,5.5,1.8,2.0
18,5.1,3.8,1.6,0.2,0.0
19,4.9,3.6,1.4,0.1,0.0
20,5.8,2.7,3.9,1.2,1.0
21,6.9,3.2,5.7,2.3,2.0
22,6.1,2.9,4.7,1.4,1.0
23,6.0,2.2,5.0,1.5,2.0
24,7.2,3.0,5.8,1.6,2.0
25,6.0,3.0,4.8,1.8,2.0
26,6.2,2.9,4.3,1.3,1.0
27,5.5,2.4,3.8,1.1,1.0
28,5.8,2.7,5.1,1.9,2.0
29,6.7,3.1,5.6,2.4,2.0
30,6.2,2.8,4.8,1.8,2.0
31,5.7,2.6,3.5,1.0,1.0
32,4.6,3.6,1.0,0.2,0.0
33,6.9,3.1,5.4,2.1,2.0
34,6.4,2.9,4.3,1.3,1.0
35,4.8,3.0,1.4,0.3,0.0
36,5.5,3.5,1.3,0.2,0.0
37,5.4,3.9,1.7,0.4,0.0
38,5.1,3.5,1.4,0.3,0.0
39,7.1,3.0,5.9,2.1,2.0
40,6.7,3.3,5.7,2.1,2.0
41,6.8,2.8,4.8,1.4,1.0
42,6.4,2.8,5.6,2.2,2.0
43,6.5,3.0,5.5,1.8,2.0
44,5.7,3.0,4.2,1.2,1.0
45,5.0,3.3,1.4,0.2,0.0
46,6.7,3.1,4.4,1.4,1.0
47,6.0,2.2,4.0,1.0,1.0
48,6.4,2.7,5.3,1.9,2.0
49,4.7,3.2,1.6,0.2,0.0
50,4.6,3.1,1.5,0.2,0.0
51,5.1,3.4,1.5,0.2,0.0
52,7.7,3.8,6.7,2.2,2.0
53,4.3,3.0,1.1,0.1,0.0
54,6.3,3.3,6.0,2.5,2.0
55,5.5,2.4,3.7,1.0,1.0
56,5.0,2.0,3.5,1.0,1.0
57,6.5,2.8,4.6,1.5,1.0
58,5.0,3.4,1.6,0.4,0.0
59,4.4,2.9,1.4,0.2,0.0
60,5.0,3.5,1.6,0.6,0.0
61,6.7,3.1,4.7,1.5,1.0
62,7.3,2.9,6.3,1.8,2.0
63,5.5,2.6,4.4,1.2,1.0
64,5.2,2.7,3.9,1.4,1.0
65,5.7,4.4,1.5,0.4,0.0
66,7.2,3.2,6.0,1.8,2.0
67,5.4,3.4,1.7,0.2,0.0
68,5.8,4.0,1.2,0.2,0.0
69,6.1,2.6,5.6,1.4,2.0
70,5.7,2.5,5.0,2.0,2.0
71,4.8,3.0,1.4,0.1,0.0
72,6.5,3.0,5.8,2.2,2.0
73,4.6,3.2,1.4,0.2,0.0
74,6.6,2.9,4.6,1.3,1.0
75,6.7,3.0,5.2,2.3,2.0
76,6.1,3.0,4.6,1.4,1.0
77,5.7,3.8,1.7,0.3,0.0
78,7.0,3.2,4.7,1.4,1.0
79,4.7,3.2,1.3,0.2,0.0
80,6.5,3.0,5.2,2.0,2.0
81,7.7,2.6,6.9,2.3,2.0
82,4.9,2.4,3.3,1.0,1.0
83,4.8,3.1,1.6,0.2,0.0
84,5.5,4.2,1.4,0.2,0.0
85,5.6,3.0,4.1,1.3,1.0
86,6.4,3.2,5.3,2.3,2.0
87,5.2,3.5,1.5,0.2,0.0
88,7.9,3.8,6.4,2.0,2.0
89,5.8,2.8,5.1,2.4,2.0
90,5.7,2.9,4.2,1.3,1.0
91,5.1,3.7,1.5,0.4,0.0
92,5.1,2.5,3.0,1.1,1.0
93,5.0,3.4,1.5,0.2,0.0
94,7.7,2.8,6.7,2.0,2.0
95,7.6,3.0,6.6,2.1,2.0
96,5.0,3.2,1.2,0.2,0.0
97,5.4,3.7,1.5,0.2,0.0
98,6.7,3.3,5.7,2.5,2.0
99,6.1,2.8,4.0,1.3,1.0
100,6.3,2.5,5.0,1.9,2.0
101,7.4,2.8,6.1,1.9,2.0
102,5.0,2.3,3.3,1.0,1.0
103,5.4,3.4,1.5,0.4,0.0
104,5.4,3.9,1.3,0.4,0.0
105,5.6,2.8,4.9,2.0,2.0
106,4.9,3.0,1.4,0.2,0.0
107,5.3,3.7,1.5,0.2,0.0
108,6.0,2.7,5.1,1.6,1.0
109,6.8,3.2,5.9,2.3,2.0
110,6.2,3.4,5.4,2.3,2.0
111,5.7,2.8,4.1,1.3,1.0
112,6.3,2.3,4.4,1.3,1.0
113,4.9,3.1,1.5,0.1,0.0
114,6.9,3.1,5.1,2.3,2.0
115,5.0,3.6,1.4,0.2,0.0
116,4.4,3.0,1.3,0.2,0.0
117,6.0,2.9,4.5,1.5,1.0
118,6.1,2.8,4.7,1.2,1.0
119,6.4,2.8,5.6,2.1,2.0
